,company_name,title_name,hard_skills_technologies,soft_skills,education
0,PlayMe Studio,AI Engineer,"['LLM APIs', 'AI-powered features', 'prompt engineering', 'chain-of-thought prompting', 'few-shot learning', 'system prompting', 'chatbots', 'multi-agent systems', 'Langchain', 'LlamaIndex', 'Python', 'API integration', 'React', 'Next.js', 'vector databases', 'semantic search', 'machine learning model training', 'fine-tuning', 'image generation tools', 'SDXL', 'ComfyUI', 'Stable Diffusion']","['strong understanding of the Product Development Lifecycle', 'ability to effectively present modeling performance results', 'data insights', 'required knowledge of Ukrainian']",3+ years of experience
4,EveryMatrix,AI/ML Lead Engineer,"['Python', 'PyTorch', 'TensorFlow', 'scikit-learn', 'LangChain', 'SQL', 'NoSQL', 'MLOps', 'personalization', 'fraud detection', 'NLP', 'LLMs', 'PostgreSQL', 'BigQuery', 'Kafka', 'DBT', 'AirFlow']","['excellent communication skills', 'English: Upper-Intermediate or higher', 'ability to lead and mentor cross-functional teams']","Master’s in Data Science (or related field), or at least 4 years of commercial experience in AI/ML"
5,GlobalLogic,Mainframe Developer,"['DB2 for ZOS', 'COBOL II', 'MVS JCL', 'CICS', 'TSO/ISPF', 'Microsoft Office', 'Visio', 'IBM DFSORT', 'ENDEVOR', 'SQL', 'ORACLE', 'LINUX']","['ability to work independently', 'self-motivated team player', 'teamwork', 'collaboration', 'open communication', 'analytical skills', 'problem solving', 'technical documentation skills', 'ability to present information', 'attention to detail']",10 years Mainframe development experience
7,Winbets,AI/ML Engineer,"['AI/ML/DL', 'Conversational AI']",['collaborative startup environment'],from 3 years of experience
9,Anadea,Senior Deep Learning Engineer (NLP / CV / GenAI),"['Python', 'Pytorch', 'Tensorflow', 'ML/DL principles', 'CV tasks', 'NLP tasks', 'model optimization', 'quantization', 'distillation', 'AI Agents', 'multi-modal models', 'RAG applications', 'MLOps', 'cloud deployment', 'AWS', 'Azure', 'GCP', 'scalable AI infrastructure']","['strong communication', 'stakeholder management', 'mentoring', 'coaching', 'recruiting', 'performance management', 'align technical decisions with business goals', 'articulate value to clients']",Only from 3 years of experience
10,Incora,Python Developer + AI/ML,"['Python', 'Django', 'Flask', 'PostgreSQL', 'MySQL', 'MongoDB', 'REST API', 'microservice architecture', 'AI/ML principles', 'AI tools', 'AWS']","['great soft skills', 'full of ideas', 'proactiveness', 'good English', 'team player']",at least 2 years of proven commercial experience
14,Flappie Technologies,Computer Vision Engineer,"['Python', 'Machine Learning', 'Deep Learning', 'OpenCV', 'PyTorch', 'Tensorflow', 'Keras', 'computer vision techniques', 'model development', 'optimization']","['resilient', 'committed', 'innovative', 'proactive', 'team-oriented', 'thrives under pressure']",from 2 years of experience
16,Patexia,Senior Data Scientist,"[""OpenAI's ChatGPT"", 'LLaMA', 'Langchain', 'NLP', 'NER', 'BERT', 'Transformers', 'LSTM', 'Regression Analysis', 'Clustering', 'Feature Engineering', 'BigQuery Machine Learning (BQ ML)', 'Vector databases', 'Vector Indexing', 'Vector Search']","['strong analytical abilities', 'problem-solving skills', 'self-motivated', 'capable of working independently', 'collaboratively within a remote team environment', 'communicate complex data science concepts clearly']",Minimum of 5 years of experience as a Data Scientist
17,JustAnswer,Senior Product Analyst,"['Excel', 'SQL', 'Google Analytics', 'BigQuery', 'PowerBI', 'Python', 'R', 'Descriptive Statistical Analysis', 'Inferential Statistical Analysis', 'A/B testing', 'Hypothesis Testing', 'ML', 'Descriptive Analytics', 'Prescriptive Analytics']","['excellent communication skills', 'confidence in interacting across all levels of management', 'English proficiency (at least strong upper-intermediate level)']",5+ years of experience
20,Expect Pulse,"Data Engineer, automation AI LLM dev/ Full stack","['Python', 'JS', 'Flutter', 'PydanticAI', 'LLM', 'fastAPI', 'AI agent', 'Azure', 'GCP', 'GitHub', 'Machine Learning', 'RAG', 'OpenAI', 'LlamaIndex', 'LLaMa', 'Moralis', 'LangChain', 'LLMOps', 'LLM tuning']","['strong level of communication', 'good level of English in both written and oral communication', 'autonomous in work', 'initiative', 'willing to learn new technology']","from 2 years of experience, considering with 1 year of experience"
21,SimilarDev,Computer Vision Engineer,"['VMD (Video Motion Detection)', 'Optical Flow', 'Tracking techniques', 'Feature Matching', 'Detectors', 'Transformers', 'Siamese Networks']","['strong collaboration skills', 'passion for innovation', 'solving complex challenges']",2+ years of experience
22,Kozak Agency,Machine Learning Senior Python,"['Python', 'AI-based features', 'distributed systems', 'cloud services', 'AWS', 'Azure', 'GCP', 'machine learning principles', 'Docker', 'Kubernetes', 'REST APIs', 'Jupyter Notebook', 'AI cloud solutions', 'prompt engineering', 'Large Language Models (LLMs)']",['English B2+'],university degree in computer sciences
23,GlobalLogic,Lead Data Architect,"['Microsoft Fabric', 'RDBMS', 'Oracle', 'Snowflake Data Cloud', 'API based integration', 'Real-time integration', 'Azure', 'Data Models', 'Streaming Data framework', 'Data Modeling tool', 'ER Studio Data Architect', 'Erwin', 'ELT / ETL tools', 'DBT', 'Informatica Cloud', 'Snowflake data warehouse management', 'SQL', 'Data validation', 'Data integrity', 'dimensional data modeling', 'star and snowflake methodology', 'Data Warehouses', 'LakeHouse concepts', 'Data Analysis', 'Data Profiling', 'Snowflake Data Cloud best practices']","['Ability to interact with Business Teams', 'Develop and maintain effective working relationships', 'Adaptability', 'Client-facing with technical and business stakeholders', 'Manage tasks independently']",Bachelors in Computer Science or Equivalent with experience in Data Architecture and data warehousing or Master with experience in Data Architecture and DataWarehousing
